sex,year,age,country,SUM_suicides_no,SUM_population,SUM_suicides_per100k_pop
female,2001,25-34 years,Sweden,29,593553,4.89
female,2001,25-34 years,Switzerland,35,527458,6.64
female,2001,25-34 years,Trinidad and Tobago,4,93862,4.26
female,2001,25-34 years,Turkmenistan,22,354216,6.21
female,2001,25-34 years,United Kingdom,136,4251558,3.2
female,2001,25-34 years,United States,871,19593734,4.45
female,2001,25-34 years,Uruguay,14,236799,5.91
female,2001,25-34 years,Uzbekistan,109,1895215,5.75
female,2001,35-54 years,Argentina,210,4306817,4.88
female,2001,35-54 years,Aruba,0,16210,0
female,2001,35-54 years,Australia,226,2827367,7.99
female,2001,35-54 years,Belgium,248,1495214,16.59
female,2001,35-54 years,Brazil,578,21260886,2.72
female,2001,35-54 years,Bulgaria,94,1123319,8.37
female,2001,35-54 years,Canada,392,4894497,8.01
female,2001,35-54 years,Chile,85,2001968,4.25
female,2001,35-54 years,Colombia,71,4884700,1.45
female,2001,35-54 years,Cuba,147,1566463,9.38
female,2001,35-54 years,Denmark,73,761705,9.58
female,2001,35-54 years,Fiji,0,89055,0
female,2001,35-54 years,Finland,130,780440,16.66
female,2001,35-54 years,France,1122,8577068,13.08
female,2001,35-54 years,Germany,868,12069849,7.19
female,2001,35-54 years,Greece,19,1498616,1.27
female,2001,35-54 years,Guatemala,6,944723,0.64
female,2001,35-54 years,Hungary,241,1459506,16.51
female,2001,35-54 years,Iceland,5,38708,12.92
female,2001,35-54 years,Ireland,34,512762,6.63
female,2001,35-54 years,Israel,24,765725,3.13
female,2001,35-54 years,Italy,300,8147857,3.68
female,2001,35-54 years,Japan,2148,17363000,12.37
female,2001,35-54 years,Kuwait,2,209093,0.96
female,2001,35-54 years,Maldives,0,22699,0
female,2001,35-54 years,Malta,3,57647,5.2
female,2001,35-54 years,Mauritius,13,165008,7.88
female,2001,35-54 years,Mexico,148,10069614,1.47
female,2001,35-54 years,Montenegro,0,86210,0
female,2001,35-54 years,Netherlands,209,2406952,8.68
female,2001,35-54 years,New Zealand,39,565790,6.89
female,2001,35-54 years,Norway,64,620966,10.31
female,2001,35-54 years,Panama,5,333840,1.5
female,2001,35-54 years,Paraguay,12,497708,2.41
female,2001,35-54 years,Philippines,79,7711226,1.02
female,2001,35-54 years,Poland,399,5704557,6.99
female,2001,35-54 years,Portugal,48,1448912,3.31
female,2001,35-54 years,Puerto Rico,15,522777,2.87
female,2001,35-54 years,Qatar,4,51357,7.79
female,2001,35-54 years,Republic of Korea,640,6918865,9.25
female,2001,35-54 years,Romania,138,2921486,4.72
female,2001,35-54 years,Russian Federation,2920,23046634,12.67
female,2001,35-54 years,Serbia,126,1117999,11.27
female,2001,35-54 years,Seychelles,1,9621,10.39
female,2001,35-54 years,Singapore,44,566000,7.77
female,2001,35-54 years,Slovakia,55,779840,7.05
female,2001,35-54 years,Slovenia,40,297875,13.43
female,2001,35-54 years,South Africa,21,4940098,0.43
female,2001,35-54 years,Spain,234,5635311,4.15
female,2001,35-54 years,Sri Lanka,244,2437630,10.01
female,2001,35-54 years,Sweden,135,1201311,11.24
female,2001,35-54 years,Switzerland,123,1087663,11.31
female,2001,35-54 years,Trinidad and Tobago,10,166710,6
female,2001,35-54 years,Turkmenistan,14,488694,2.86
female,2001,35-54 years,United Kingdom,373,8374702,4.45
female,2001,35-54 years,United States,2893,42567863,6.8
female,2001,35-54 years,Uruguay,42,404912,10.37
female,2001,35-54 years,Uzbekistan,93,2492917,3.73
female,2001,05-14 years,Argentina,24,3411619,0.7
female,2001,05-14 years,Aruba,0,7181,0
female,2001,05-14 years,Australia,4,1317968,0.3
female,2001,05-14 years,Belgium,4,600055,0.67
female,2001,05-14 years,Brazil,53,17212816,0.31
female,2001,05-14 years,Bulgaria,4,429090,0.93
female,2001,05-14 years,Canada,13,1998430,0.65
female,2001,05-14 years,Chile,10,1381776,0.72
female,2001,05-14 years,Colombia,45,4206893,1.07
female,2001,05-14 years,Cuba,3,804241,0.37
female,2001,05-14 years,Denmark,0,322284,0
female,2001,05-14 years,Fiji,0,88212,0
female,2001,05-14 years,Finland,1,315805,0.32
female,2001,05-14 years,France,11,3624987,0.3
female,2001,05-14 years,Germany,11,4273747,0.26
female,2001,05-14 years,Greece,1,545693,0.18
female,2001,05-14 years,Guatemala,4,1611925,0.25
female,2001,05-14 years,Hungary,1,582764,0.17
female,2001,05-14 years,Iceland,0,21737,0
female,2001,05-14 years,Ireland,0,269812,0
female,2001,05-14 years,Israel,2,571290,0.35
female,2001,05-14 years,Italy,3,2674091,0.11
female,2001,05-14 years,Japan,22,5990000,0.37
female,2001,05-14 years,Kuwait,0,180414,0
female,2001,05-14 years,Maldives,0,38833,0
female,2001,05-14 years,Malta,0,26275,0
female,2001,05-14 years,Mauritius,1,99293,1.01
female,2001,05-14 years,Mexico,61,11248880,0.54
female,2001,05-14 years,Montenegro,0,43461,0
female,2001,05-14 years,Netherlands,2,967153,0.21
female,2001,05-14 years,New Zealand,2,289760,0.69
female,2001,05-14 years,Norway,0,294716,0
female,2001,05-14 years,Panama,0,310343,0
female,2001,05-14 years,Paraguay,6,656430,0.91
female,2001,05-14 years,Philippines,8,9545250,0.08
female,2001,05-14 years,Poland,3,2546175,0.12
female,2001,05-14 years,Portugal,1,547872,0.18
female,2001,05-14 years,Puerto Rico,0,297009,0
female,2001,05-14 years,Qatar,0,49711,0
female,2001,05-14 years,Republic of Korea,21,3180198,0.66
female,2001,05-14 years,Romania,5,1393646,0.36
female,2001,05-14 years,Russian Federation,114,8998521,1.27
female,2001,05-14 years,Serbia,0,417714,0
female,2001,05-14 years,Seychelles,0,7585,0
female,2001,05-14 years,Singapore,2,242800,0.82
female,2001,05-14 years,Slovakia,0,364538,0
female,2001,05-14 years,Slovenia,0,106887,0
female,2001,05-14 years,South Africa,3,5081802,0.06
female,2001,05-14 years,Spain,4,1960476,0.2
female,2001,05-14 years,Sri Lanka,15,1640606,0.91
female,2001,05-14 years,Sweden,3,569357,0.53
female,2001,05-14 years,Switzerland,3,413077,0.73
female,2001,05-14 years,Trinidad and Tobago,2,110619,1.81
female,2001,05-14 years,Turkmenistan,3,567589,0.53
female,2001,05-14 years,United Kingdom,3,3714668,0.08
female,2001,05-14 years,United States,65,20032634,0.32
female,2001,05-14 years,Uruguay,1,267424,0.37
female,2001,05-14 years,Uzbekistan,18,3159562,0.57
female,2001,55-74 years,Argentina,137,2788628,4.91
female,2001,55-74 years,Aruba,0,6793,0
female,2001,55-74 years,Australia,81,1585702,5.11
female,2001,55-74 years,Belgium,155,1070496,14.48
female,2001,55-74 years,Brazil,206,9044684,2.28
female,2001,55-74 years,Bulgaria,118,963174,12.25
female,2001,55-74 years,Canada,161,2618587,6.15
female,2001,55-74 years,Chile,19,986090,1.93
female,2001,55-74 years,Colombia,30,1803020,1.66
female,2001,55-74 years,Cuba,133,814327,16.33
female,2001,55-74 years,Denmark,83,541963,15.31
female,2001,55-74 years,Fiji,1,34038,2.94
female,2001,55-74 years,Finland,72,541576,13.29
female,2001,55-74 years,France,793,5685442,13.95
female,2001,55-74 years,Germany,983,9568028,10.27
female,2001,55-74 years,Greece,11,1266997,0.87
female,2001,55-74 years,Guatemala,3,412890,0.73
female,2001,55-74 years,Hungary,228,1190022,19.16
female,2001,55-74 years,Iceland,1,21059,4.75
female,2001,55-74 years,Ireland,18,295191,6.1
female,2001,55-74 years,Israel,14,425773,3.29
female,2001,55-74 years,Italy,358,6692631,5.35
female,2001,55-74 years,Japan,2870,15379000,18.66
female,2001,55-74 years,Kuwait,0,38503,0
female,2001,55-74 years,Maldives,0,9895,0
female,2001,55-74 years,Malta,1,37731,2.65
female,2001,55-74 years,Mauritius,4,64392,6.21
female,2001,55-74 years,Mexico,51,4322994,1.18
female,2001,55-74 years,Montenegro,0,58144,0
female,2001,55-74 years,Netherlands,106,1478539,7.17
female,2001,55-74 years,New Zealand,17,307490,5.53
female,2001,55-74 years,Norway,29,399140,7.27
female,2001,55-74 years,Panama,4,142343,2.81
female,2001,55-74 years,Paraguay,3,207018,1.45
female,2001,55-74 years,Philippines,34,2797077,1.22
female,2001,55-74 years,Poland,230,3550900,6.48
female,2001,55-74 years,Portugal,65,1145478,5.67
female,2001,55-74 years,Puerto Rico,8,326573,2.45
female,2001,55-74 years,Qatar,0,7174,0
female,2001,55-74 years,Republic of Korea,520,3424102,15.19
female,2001,55-74 years,Romania,178,2329886,7.64
female,2001,55-74 years,Russian Federation,2471,15506563,15.94
female,2001,55-74 years,Serbia,173,918529,18.83
female,2001,55-74 years,Seychelles,0,4245,0
female,2001,55-74 years,Singapore,20,207900,9.62
female,2001,55-74 years,Slovakia,25,483308,5.17
female,2001,55-74 years,Slovenia,43,211919,20.29
female,2001,55-74 years,South Africa,6,2053745,0.29
female,2001,55-74 years,Spain,228,4211088,5.41
female,2001,55-74 years,Sri Lanka,100,1109859,9.01
female,2001,55-74 years,Sweden,116,919616,12.61
female,2001,55-74 years,Switzerland,125,734955,17.01
female,2001,55-74 years,Trinidad and Tobago,5,76085,6.57
female,2001,55-74 years,Turkmenistan,6,173382,3.46
female,2001,55-74 years,United Kingdom,239,5820231,4.11
female,2001,55-74 years,United States,1146,23170384,4.95
female,2001,55-74 years,Uruguay,29,303804,9.55
female,2001,55-74 years,Uzbekistan,40,881227,4.54
female,2001,75+ years,Argentina,57,978346,5.83
female,2001,75+ years,Aruba,0,1519,0
female,2001,75+ years,Australia,39,677113,5.76
female,2001,75+ years,Belgium,86,496214,17.33
female,2001,75+ years,Brazil,41,1866958,2.2
female,2001,75+ years,Bulgaria,101,298153,33.88
female,2001,75+ years,Canada,38,1096205,3.47
female,2001,75+ years,Chile,6,289839,2.07
female,2001,75+ years,Colombia,4,427591,0.94
female,2001,75+ years,Cuba,44,270115,16.29
female,2001,75+ years,Denmark,48,239716,20.02
female,2001,75+ years,Fiji,0,4489,0
female,2001,75+ years,Finland,23,236217,9.74
female,2001,75+ years,France,468,2849945,16.42
female,2001,75+ years,Germany,764,4192492,18.22
female,2001,75+ years,Greece,10,396780,2.52
female,2001,75+ years,Guatemala,0,86093,0
female,2001,75+ years,Hungary,157,419870,37.39
female,2001,75+ years,Iceland,0,8552,0
female,2001,75+ years,Ireland,2,116212,1.72
female,2001,75+ years,Israel,17,167410,10.15
female,2001,75+ years,Italy,178,2950086,6.03
female,2001,75+ years,Japan,1689,6095000,27.71
female,2001,75+ years,Kuwait,0,4919,0
female,2001,75+ years,Maldives,1,976,102.46
female,2001,75+ years,Malta,1,12003,8.33
female,2001,75+ years,Mauritius,1,17391,5.75
female,2001,75+ years,Mexico,13,1178437,1.1
female,2001,75+ years,Montenegro,0,14322,0
female,2001,75+ years,Netherlands,54,636833,8.48
female,2001,75+ years,New Zealand,9,128740,6.99
female,2001,75+ years,Norway,7,221223,3.16
female,2001,75+ years,Panama,1,36391,2.75
female,2001,75+ years,Paraguay,1,51331,1.95
female,2001,75+ years,Philippines,4,505269,0.79
female,2001,75+ years,Poland,59,1206688,4.89
female,2001,75+ years,Portugal,40,444610,9
female,2001,75+ years,Puerto Rico,3,111602,2.69
female,2001,75+ years,Qatar,0,778,0
female,2001,75+ years,Republic of Korea,306,766768,39.91
female,2001,75+ years,Romania,54,653462,8.26
female,2001,75+ years,Russian Federation,1349,4919708,27.42
female,2001,75+ years,Serbia,85,237291,35.82
female,2001,75+ years,Seychelles,0,1679,0
female,2001,75+ years,Singapore,12,50200,23.9
female,2001,75+ years,Slovakia,14,158161,8.85
female,2001,75+ years,Slovenia,23,75594,30.43
female,2001,75+ years,South Africa,0,381082,0
female,2001,75+ years,Spain,160,1873657,8.54
female,2001,75+ years,Sri Lanka,31,222745,13.92
female,2001,75+ years,Sweden,63,486462,12.95
female,2001,75+ years,Switzerland,86,336369,25.57
female,2001,75+ years,Trinidad and Tobago,1,20018,5
female,2001,75+ years,Turkmenistan,0,42291,0
female,2001,75+ years,United Kingdom,106,2801024,3.78
female,2001,75+ years,United States,412,10691894,3.85
female,2001,75+ years,Uruguay,10,119725,8.35
female,2001,75+ years,Uzbekistan,16,223250,7.17
