sex,year,country,SUM of suicides_no
female,2003,Latvia,122
female,2003,Lithuania,256
female,2003,Luxembourg,8
female,2003,Maldives,1
female,2003,Malta,3
female,2003,Mauritius,24
female,2003,Mexico,694
female,2003,Montenegro,0
female,2003,Netherlands,484
female,2003,New Zealand,141
female,2003,Norway,128
female,2003,Panama,21
female,2003,Paraguay,45
female,2003,Philippines,402
female,2003,Poland,888
female,2003,Portugal,267
female,2003,Puerto Rico,22
female,2003,Republic of Korea,3384
female,2003,Romania,508
female,2003,Russian Federation,8450
female,2003,Saint Lucia,4
female,2003,Saint Vincent and Grenadines,0
female,2003,Serbia,381
female,2003,Seychelles,2
female,2003,Singapore,119
female,2003,Slovakia,105
female,2003,Slovenia,122
female,2003,South Africa,63
female,2003,Spain,828
female,2003,Sri Lanka,934
female,2003,Suriname,19
female,2003,Sweden,336
female,2003,Switzerland,421
female,2003,Thailand,1059
female,2003,Trinidad and Tobago,35
female,2003,Turkmenistan,82
female,2003,Ukraine,2150
female,2003,United Kingdom,929
female,2003,United States,6281
female,2003,Uruguay,123
female,2003,Uzbekistan,379
female,2004,Albania,57
female,2004,Antigua and Barbuda,0
female,2004,Argentina,654
female,2004,Aruba,1
female,2004,Australia,442
female,2004,Austria,346
female,2004,Azerbaijan,30
female,2004,Bahamas,0
female,2004,Bahrain,7
female,2004,Barbados,0
female,2004,Belgium,537
female,2004,Belize,1
female,2004,Brazil,1703
female,2004,Bulgaria,267
female,2004,Canada,879
female,2004,Chile,263
female,2004,Colombia,501
female,2004,Costa Rica,44
female,2004,Croatia,226
female,2004,Cuba,371
female,2004,Cyprus,2
female,2004,Czech Republic,297
female,2004,Denmark,192
female,2004,Ecuador,236
female,2004,El Salvador,115
female,2004,Estonia,59
female,2004,Fiji,8
female,2004,Finland,252
female,2004,France,2949
female,2004,Georgia,28
female,2004,Germany,2795
female,2004,Greece,68
female,2004,Grenada,0
female,2004,Guatemala,66
female,2004,Guyana,48
female,2004,Hungary,655
female,2004,Iceland,9
female,2004,Ireland,74
female,2004,Israel,91
female,2004,Italy,940
female,2004,Jamaica,0
female,2004,Japan,8270
female,2004,Kazakhstan,692
female,2004,Kuwait,17
female,2004,Kyrgyzstan,75
female,2004,Latvia,106
female,2004,Lithuania,256
female,2004,Luxembourg,17
female,2004,Maldives,1
female,2004,Malta,10
female,2004,Mauritius,22
female,2004,Mexico,675
female,2004,Montenegro,0
