sex,year,country,SUM of suicides_no
female,2013,Singapore,112
female,2013,Slovakia,83
female,2013,Slovenia,86
female,2013,South Africa,120
female,2013,Spain,960
female,2013,Suriname,34
female,2013,Sweden,368
female,2013,Switzerland,285
female,2013,Thailand,856
female,2013,Turkey,463
female,2013,Turkmenistan,28
female,2013,United Kingdom,993
female,2013,United States,9094
female,2013,Uruguay,123
female,2013,Uzbekistan,628
female,2014,Antigua and Barbuda,0
female,2014,Argentina,687
female,2014,Armenia,15
female,2014,Australia,709
female,2014,Austria,324
female,2014,Bahrain,1
female,2014,Belarus,276
female,2014,Belgium,561
female,2014,Belize,6
female,2014,Bosnia and Herzegovina,70
female,2014,Brazil,2233
female,2014,Bulgaria,172
female,2014,Chile,314
female,2014,Colombia,371
female,2014,Costa Rica,45
female,2014,Croatia,186
female,2014,Cuba,307
female,2014,Cyprus,13
female,2014,Czech Republic,293
female,2014,Denmark,160
female,2014,Ecuador,167
female,2014,El Salvador,108
female,2014,Estonia,48
female,2014,Finland,190
female,2014,France,2220
female,2014,Georgia,36
female,2014,Germany,2588
female,2014,Greece,115
female,2014,Grenada,0
female,2014,Guatemala,156
female,2014,Hungary,447
female,2014,Iceland,11
female,2014,Ireland,87
female,2014,Israel,88
female,2014,Italy,932
female,2014,Japan,7537
female,2014,Kazakhstan,563
female,2014,Kuwait,18
female,2014,Kyrgyzstan,103
female,2014,Latvia,71
female,2014,Lithuania,161
female,2014,Luxembourg,15
female,2014,Malta,5
female,2014,Mauritius,24
female,2014,Mexico,1228
female,2014,Netherlands,589
female,2014,Nicaragua,70
female,2014,Norway,147
female,2014,Oman,0
female,2014,Panama,20
female,2014,Paraguay,110
female,2014,Poland,811
female,2014,Portugal,298
female,2014,Puerto Rico,32
female,2014,Qatar,3
female,2014,Republic of Korea,4099
female,2014,Romania,322
female,2014,Russian Federation,4655
female,2014,Saint Lucia,3
female,2014,Saint Vincent and Grenadines,0
female,2014,Serbia,277
female,2014,Seychelles,2
female,2014,Singapore,105
female,2014,Slovakia,83
female,2014,Slovenia,63
female,2014,South Africa,121
female,2014,Spain,973
female,2014,Suriname,36
female,2014,Sweden,363
female,2014,Switzerland,276
female,2014,Thailand,878
female,2014,Turkey,408
female,2014,Turkmenistan,44
female,2014,Ukraine,1556
female,2014,United Kingdom,1071
female,2014,United States,9659
female,2014,Uruguay,131
female,2014,Uzbekistan,690
female,2015,Antigua and Barbuda,1
female,2015,Argentina,604
female,2015,Armenia,19
female,2015,Australia,735
female,2015,Austria,290
female,2015,Belgium,552
female,2015,Belize,4
female,2015,Brazil,2397
female,2015,Chile,378
female,2015,Colombia,482
female,2015,Croatia,197
female,2015,Cuba,300
female,2015,Cyprus,9
female,2015,Czech Republic,254
female,2015,Denmark,174
female,2015,Ecuador,266
female,2015,Estonia,36
female,2015,Finland,173
female,2015,Georgia,48
female,2015,Germany,2685
female,2015,Greece,107
female,2015,Grenada,0
female,2015,Guatemala,144
female,2015,Hungary,479
female,2015,Iceland,11
female,2015,Israel,73
female,2015,Italy,883
female,2015,Japan,6946
female,2015,Kazakhstan,530
female,2015,Kyrgyzstan,90
female,2015,Latvia,81
female,2015,Lithuania,169
female,2015,Luxembourg,19
female,2015,Malta,7
female,2015,Mauritius,26
female,2015,Mexico,1248
female,2015,Netherlands,591
female,2015,Nicaragua,85
female,2015,Norway,190
female,2015,Panama,19
female,2015,Poland,723
female,2015,Puerto Rico,25
female,2015,Qatar,9
female,2015,Republic of Korea,3954
female,2015,Romania,342
female,2015,Russian Federation,4571
female,2015,Saint Vincent and Grenadines,1
female,2015,Serbia,269
female,2015,Seychelles,1
female,2015,Singapore,111
female,2015,Slovenia,90
female,2015,South Africa,105
female,2015,Spain,923
female,2015,Sweden,331
female,2015,Switzerland,280
female,2015,Thailand,839
female,2015,Turkey,397
female,2015,Turkmenistan,41
female,2015,Ukraine,1426
female,2015,United Kingdom,1178
female,2015,United States,10199
female,2015,Uruguay,131
male,2001,Albania,84
male,2001,Antigua and Barbuda,2
male,2001,Argentina,2456
male,2001,Armenia,48
male,2001,Aruba,4
male,2001,Australia,1936
male,2001,Austria,1081
male,2001,Azerbaijan,236
male,2001,Bahamas,1
male,2001,Bahrain,20
male,2001,Barbados,2
male,2001,Belarus,2813
male,2001,Belgium,1582
male,2001,Belize,17
male,2001,Brazil,6153
male,2001,Bulgaria,951
male,2001,Canada,2871
male,2001,Chile,1392
male,2001,Colombia,1855
male,2001,Costa Rica,170
male,2001,Croatia,656
male,2001,Cuba,1203
male,2001,Czech Republic,1294
male,2001,Denmark,507
male,2001,Ecuador,399
male,2001,El Salvador,362
male,2001,Estonia,315
male,2001,Fiji,28
male,2001,Finland,933
male,2001,France,7660
male,2001,Georgia,73
male,2001,Germany,8196
male,2001,Greece,286
male,2001,Grenada,0
male,2001,Guatemala,150
male,2001,Guyana,154
male,2001,Hungary,2282
male,2001,Iceland,28
male,2001,Ireland,409
male,2001,Israel,323
male,2001,Italy,3050
male,2001,Jamaica,4
male,2001,Japan,20868
male,2001,Kazakhstan,3719
male,2001,Kiribati,0
male,2001,Kuwait,25
male,2001,Kyrgyzstan,483
male,2001,Latvia,571
male,2001,Lithuania,1255
male,2001,Luxembourg,50
male,2001,Maldives,2
male,2001,Malta,23
male,2001,Mauritius,76
male,2001,Mexico,3088
male,2001,Montenegro,0
male,2001,Netherlands,1010
male,2001,New Zealand,389
male,2001,Norway,411
male,2001,Panama,139
male,2001,Paraguay,98
male,2001,Philippines,927
male,2001,Poland,5005
male,2001,Portugal,586
male,2001,Puerto Rico,255
male,2001,Qatar,18
male,2001,Republic of Korea,4852
male,2001,Romania,2278
male,2001,Russian Federation,47952
male,2001,Saint Lucia,7
male,2001,Saint Vincent and Grenadines,7
male,2001,Serbia,1025
male,2001,Seychelles,5
male,2001,Singapore,190
male,2001,Slovakia,580
male,2001,Slovenia,459
male,2001,South Africa,312
male,2001,Spain,2430
male,2001,Sri Lanka,3582
male,2001,Suriname,56
male,2001,Sweden,833
male,2001,Switzerland,945
male,2001,Trinidad and Tobago,141
male,2001,Turkmenistan,367
male,2001,Ukraine,10939
male,2001,United Kingdom,3199
male,2001,United States,24658
male,2001,Uruguay,390
male,2001,Uzbekistan,1462
male,2002,Albania,91
male,2002,Antigua and Barbuda,0
male,2002,Argentina,2459
male,2002,Armenia,62
male,2002,Aruba,9
male,2002,Australia,1813
male,2002,Austria,1190
male,2002,Azerbaijan,73
male,2002,Bahamas,3
male,2002,Bahrain,18
male,2002,Barbados,0
male,2002,Belarus,2780
male,2002,Belgium,1497
male,2002,Belize,9
male,2002,Brazil,6003
male,2002,Bulgaria,981
male,2002,Canada,2851
male,2002,Chile,1357
male,2002,Colombia,1815
male,2002,Costa Rica,236
male,2002,Croatia,644
male,2002,Cuba,1147
male,2002,Czech Republic,1216
male,2002,Denmark,503
male,2002,Ecuador,397
male,2002,El Salvador,304
male,2002,Estonia,299
male,2002,Fiji,26
male,2002,Finland,824
male,2002,France,7728
male,2002,Germany,8117
male,2002,Greece,257
male,2002,Grenada,0
male,2002,Guatemala,194
male,2002,Guyana,142
male,2002,Hungary,2192
male,2002,Iceland,20
male,2002,Ireland,368
male,2002,Israel,291
male,2002,Italy,3145
male,2002,Jamaica,2
male,2002,Japan,21467
male,2002,Kazakhstan,3562
male,2002,Kuwait,34
male,2002,Kyrgyzstan,467
male,2002,Latvia,521
male,2002,Lithuania,1309
male,2002,Luxembourg,63
male,2002,Maldives,2
male,2002,Malta,11
male,2002,Mauritius,102
male,2002,Mexico,3170
male,2002,Montenegro,0
male,2002,Netherlands,1063
male,2002,New Zealand,354
male,2002,Norway,362
male,2002,Panama,130
male,2002,Paraguay,111
male,2002,Philippines,999
male,2002,Poland,4933
male,2002,Portugal,947
male,2002,Puerto Rico,202
male,2002,Republic of Korea,5939
male,2002,Romania,2539
male,2002,Russian Federation,45967
male,2002,Saint Lucia,8
male,2002,Saint Vincent and Grenadines,6
male,2002,Serbia,1051
male,2002,Seychelles,5
male,2002,Singapore,192
male,2002,Slovakia,617
male,2002,Slovenia,433
male,2002,South Africa,189
male,2002,Spain,2555
male,2002,Sri Lanka,3465
male,2002,Suriname,48
male,2002,Sweden,862
male,2002,Switzerland,980
male,2002,Thailand,3712
male,2002,Trinidad and Tobago,129
male,2002,Turkmenistan,336
male,2002,Ukraine,10367
male,2002,United Kingdom,3164
male,2002,United States,25399
male,2002,Uruguay,534
male,2002,Uzbekistan,1177
male,2003,Albania,73
male,2003,Antigua and Barbuda,1
male,2003,Argentina,2605
male,2003,Armenia,50
male,2003,Aruba,2
male,2003,Australia,1685
male,2003,Austria,1068
male,2003,Azerbaijan,93
male,2003,Bahamas,1
male,2003,Bahrain,29
male,2003,Barbados,0
male,2003,Belarus,2916
male,2003,Belgium,1537
male,2003,Belize,8
male,2003,Brazil,6234
male,2003,Bulgaria,800
male,2003,Canada,2903
male,2003,Chile,1402
male,2003,Colombia,1692
male,2003,Costa Rica,262
male,2003,Croatia,672
male,2003,Cuba,1126
male,2003,Czech Republic,1365
male,2003,Denmark,480
male,2003,Ecuador,453
male,2003,El Salvador,388
male,2003,Estonia,276
male,2003,Fiji,6
male,2003,Finland,815
male,2003,France,8038
male,2003,Germany,8182
male,2003,Greece,306
male,2003,Grenada,4
male,2003,Guatemala,200
male,2003,Guyana,153
male,2003,Hungary,2160
male,2003,Iceland,20
male,2003,Ireland,358
male,2003,Israel,345
male,2003,Italy,3078
male,2003,Jamaica,1
male,2003,Japan,23190
male,2003,Kazakhstan,3633
male,2003,Kuwait,30
male,2003,Kyrgyzstan,397
male,2003,Latvia,482
male,2003,Lithuania,1199
male,2003,Luxembourg,40
male,2003,Maldives,3
male,2003,Malta,17
male,2003,Mauritius,64
male,2003,Mexico,3376
male,2003,Montenegro,0
male,2003,Netherlands,1018
male,2003,New Zealand,378
male,2003,Norway,374
male,2003,Panama,174
male,2003,Paraguay,129
male,2003,Philippines,1142
male,2003,Poland,4948
male,2003,Portugal,889
male,2003,Puerto Rico,240
male,2003,Republic of Korea,7514
male,2003,Romania,2386
male,2003,Russian Federation,42995
male,2003,Saint Lucia,6
male,2003,Saint Vincent and Grenadines,4
male,2003,Serbia,997
male,2003,Seychelles,6
male,2003,Singapore,201
male,2003,Slovakia,648
male,2003,Slovenia,440
male,2003,South Africa,193
male,2003,Spain,2650
male,2003,Sri Lanka,3533
male,2003,Suriname,58
male,2003,Sweden,776
male,2003,Switzerland,848
male,2003,Thailand,3425
male,2003,Trinidad and Tobago,109
male,2003,Turkmenistan,295
male,2003,Ukraine,10163
male,2003,United Kingdom,3050
male,2003,United States,25196
male,2003,Uruguay,412
male,2003,Uzbekistan,1037
male,2004,Albania,89
male,2004,Antigua and Barbuda,2
male,2004,Argentina,2467
male,2004,Aruba,7
male,2004,Australia,1672
male,2004,Austria,1076
male,2004,Azerbaijan,78
male,2004,Bahamas,2
male,2004,Bahrain,35
male,2004,Barbados,3
male,2004,Belgium,1450
male,2004,Belize,19
male,2004,Brazil,6292
male,2004,Bulgaria,746
male,2004,Canada,2734
male,2004,Chile,1472
male,2004,Colombia,1743
male,2004,Costa Rica,281
male,2004,Croatia,645
male,2004,Cuba,1144
male,2004,Cyprus,5
male,2004,Czech Republic,1286
male,2004,Denmark,469
male,2004,Ecuador,555
male,2004,El Salvador,349
male,2004,Estonia,264
male,2004,Fiji,16
male,2004,Finland,812
male,2004,France,7855
male,2004,Georgia,147
male,2004,Germany,7946
male,2004,Greece,285
male,2004,Grenada,1
male,2004,Guatemala,184
male,2004,Guyana,138
male,2004,Hungary,2087
male,2004,Iceland,26
male,2004,Ireland,390
male,2004,Israel,320
male,2004,Italy,3046
male,2004,Jamaica,1
male,2004,Japan,21764
male,2004,Kazakhstan,3702
male,2004,Kuwait,28
male,2004,Kyrgyzstan,363
male,2004,Latvia,457
male,2004,Lithuania,1124
male,2004,Luxembourg,45
male,2004,Maldives,0
male,2004,Malta,14
male,2004,Mauritius,75
male,2004,Mexico,3381
male,2004,Montenegro,0
male,2004,Netherlands,1022
male,2004,New Zealand,382
male,2004,Norway,359
male,2004,Panama,152
male,2004,Paraguay,157
male,2004,Poland,5162
male,2004,Puerto Rico,256
male,2004,Qatar,20
male,2004,Republic of Korea,7879
male,2004,Romania,2276
male,2004,Russian Federation,40894
male,2004,Saint Lucia,8
male,2004,Saint Vincent and Grenadines,4
male,2004,Serbia,978
male,2004,Seychelles,6
male,2004,Singapore,205
male,2004,Slovakia,564
male,2004,Slovenia,370
male,2004,South Africa,294
male,2004,Spain,2651
male,2004,Suriname,49
male,2004,Sweden,834
male,2004,Switzerland,857
male,2004,Thailand,3253
male,2004,Trinidad and Tobago,143
male,2004,Turkmenistan,299
male,2004,Ukraine,9391
male,2004,United Kingdom,3162
male,2004,United States,25555
male,2004,Uruguay,412
male,2004,Uzbekistan,943
male,2005,Albania,0
male,2005,Antigua and Barbuda,0
male,2005,Argentina,2394
male,2005,Aruba,5
male,2005,Austria,1049
male,2005,Bahamas,3
male,2005,Bahrain,35
male,2005,Barbados,1
male,2005,Belgium,1477
male,2005,Belize,11
male,2005,Brazil,6725
male,2005,Bulgaria,727
male,2005,Canada,2857
male,2005,Chile,1403
male,2005,Colombia,1637
male,2005,Costa Rica,231
male,2005,Croatia,651
male,2005,Cuba,1046
male,2005,Cyprus,12
male,2005,Czech Republic,1273
male,2005,Denmark,457
male,2005,Ecuador,683
male,2005,El Salvador,337
male,2005,Estonia,220
male,2005,Fiji,16
male,2005,Finland,724
male,2005,France,7829
male,2005,Georgia,69
male,2005,Germany,7531
male,2005,Greece,321
male,2005,Grenada,5
male,2005,Guatemala,177
male,2005,Guyana,127
male,2005,Hungary,2026
male,2005,Iceland,24
male,2005,Ireland,363
male,2005,Israel,304
male,2005,Italy,2803
male,2005,Jamaica,43
male,2005,Japan,22070
male,2005,Kazakhstan,3269
male,2005,Kuwait,41
male,2005,Kyrgyzstan,386
male,2005,Latvia,445
male,2005,Lithuania,1084
male,2005,Luxembourg,39
male,2005,Maldives,1
male,2005,Malta,16
male,2005,Mauritius,79
male,2005,Mexico,3544
male,2005,Montenegro,82
male,2005,Netherlands,1074
male,2005,New Zealand,382
male,2005,Norway,360
male,2005,Panama,148
male,2005,Paraguay,155
male,2005,Poland,5138
male,2005,Puerto Rico,248
male,2005,Qatar,16
male,2005,Republic of Korea,8026
male,2005,Romania,2133
male,2005,Russian Federation,38338
male,2005,Saint Lucia,4
male,2005,Saint Vincent and Grenadines,7
male,2005,San Marino,1
male,2005,Serbia,1006
male,2005,Seychelles,4
male,2005,Singapore,240
male,2005,Slovakia,584
male,2005,Slovenia,391
male,2005,South Africa,357
male,2005,Spain,2570
male,2005,Suriname,60
male,2005,Sweden,835
male,2005,Switzerland,899
male,2005,Thailand,3030
male,2005,Trinidad and Tobago,110
male,2005,Turkmenistan,374
male,2005,Ukraine,8860
male,2005,United Arab Emirates,80
male,2005,United Kingdom,3054
male,2005,United States,25900
male,2005,Uruguay,383
male,2005,Uzbekistan,921
male,2006,Albania,0
male,2006,Antigua and Barbuda,0
male,2006,Argentina,2496
male,2006,Armenia,61
male,2006,Aruba,7
male,2006,Australia,1623
male,2006,Austria,1000
male,2006,Bahamas,2
male,2006,Bahrain,17
male,2006,Barbados,9
male,2006,Belgium,1395
male,2006,Belize,9
male,2006,Brazil,6817
male,2006,Bulgaria,752
male,2006,Canada,2695
male,2006,Chile,1498
male,2006,Colombia,1717
male,2006,Costa Rica,295
male,2006,Croatia,573
male,2006,Cuba,1103
male,2006,Cyprus,12
male,2006,Czech Republic,1142
male,2006,Denmark,472
male,2006,Ecuador,602
male,2006,El Salvador,293
male,2006,Estonia,191
male,2006,Fiji,15
male,2006,Finland,803
male,2006,France,7593
male,2006,Georgia,59
male,2006,Germany,7231
male,2006,Greece,326
male,2006,Grenada,1
male,2006,Guatemala,227
male,2006,Guyana,151
male,2006,Hungary,1861
male,2006,Iceland,22
male,2006,Ireland,372
male,2006,Israel,279
male,2006,Italy,2841
male,2006,Jamaica,0
male,2006,Japan,21283
male,2006,Kazakhstan,3401
male,2006,Kuwait,34
male,2006,Kyrgyzstan,366
male,2006,Latvia,407
male,2006,Lithuania,853
male,2006,Luxembourg,47
male,2006,Malta,21
male,2006,Mauritius,89
male,2006,Mexico,3521
male,2006,Montenegro,0
male,2006,Netherlands,1046
male,2006,New Zealand,388
male,2006,Norway,391
male,2006,Panama,172
male,2006,Paraguay,182
male,2006,Philippines,1386
male,2006,Poland,4947
male,2006,Puerto Rico,243
male,2006,Qatar,24
male,2006,Republic of Korea,7227
male,2006,Romania,2240
male,2006,Russian Federation,35387
male,2006,Saint Lucia,2
male,2006,Saint Vincent and Grenadines,5
male,2006,Serbia,1021
male,2006,Seychelles,8
male,2006,Singapore,231
male,2006,Slovakia,0
male,2006,Slovenia,415
male,2006,South Africa,417
male,2006,Spain,2512
male,2006,Sri Lanka,3117
male,2006,Suriname,84
male,2006,Sweden,817
male,2006,Switzerland,863
male,2006,Thailand,2852
male,2006,Trinidad and Tobago,115
male,2006,Turkmenistan,392
male,2006,Ukraine,8300
male,2006,United Arab Emirates,76
male,2006,United Kingdom,3186
male,2006,United States,26300
male,2006,Uruguay,392
male,2007,Albania,77
male,2007,Antigua and Barbuda,1
male,2007,Argentina,2346
male,2007,Armenia,51
male,2007,Aruba,7
male,2007,Australia,1699
male,2007,Austria,968
male,2007,Azerbaijan,41
male,2007,Bahamas,4
male,2007,Bahrain,34
male,2007,Barbados,0
male,2007,Belarus,2203
male,2007,Belgium,1320
male,2007,Belize,6
male,2007,Brazil,6984
male,2007,Bulgaria,663
male,2007,Canada,2727
male,2007,Chile,1496
male,2007,Colombia,1727
male,2007,Costa Rica,226
male,2007,Croatia,577
male,2007,Cuba,1041
male,2007,Cyprus,15
male,2007,Czech Republic,1149
male,2007,Denmark,401
male,2007,Ecuador,731
male,2007,El Salvador,389
male,2007,Estonia,205
male,2007,Fiji,10
male,2007,Finland,751
male,2007,France,7419
male,2007,Georgia,84
male,2007,Germany,7012
male,2007,Greece,268
male,2007,Grenada,2
male,2007,Guatemala,263
male,2007,Guyana,143
male,2007,Hungary,1879
male,2007,Iceland,30
male,2007,Ireland,362
male,2007,Israel,263
male,2007,Italy,2893
male,2007,Japan,21867
male,2007,Kazakhstan,3420
male,2007,Kuwait,37
male,2007,Kyrgyzstan,366
male,2007,Latvia,358
male,2007,Lithuania,848
male,2007,Luxembourg,53
male,2007,Maldives,3
male,2007,Malta,25
male,2007,Mauritius,97
male,2007,Mexico,3523
male,2007,Montenegro,89
male,2007,Netherlands,944
male,2007,New Zealand,376
male,2007,Norway,336
male,2007,Panama,150
male,2007,Paraguay,159
male,2007,Philippines,1292
male,2007,Poland,4472
male,2007,Portugal,751
male,2007,Puerto Rico,228
male,2007,Qatar,37
male,2007,Republic of Korea,7747
male,2007,Romania,1984
male,2007,Russian Federation,33808
male,2007,Saint Vincent and Grenadines,11
male,2007,Serbia,968
male,2007,Seychelles,5
male,2007,Singapore,197
male,2007,Slovakia,0
male,2007,Slovenia,335
male,2007,South Africa,313
male,2007,Spain,2463
male,2007,Suriname,87
male,2007,Sweden,801
male,2007,Switzerland,920
male,2007,Thailand,2943
male,2007,Trinidad and Tobago,111
male,2007,Turkmenistan,269
male,2007,Ukraine,8403
male,2007,United Arab Emirates,88
male,2007,United Kingdom,3025
male,2007,United States,27267
male,2007,Uruguay,441
male,2008,Albania,99
male,2008,Antigua and Barbuda,0
male,2008,Argentina,2448
male,2008,Armenia,44
male,2008,Aruba,3
male,2008,Australia,1833
male,2008,Austria,963
male,2008,Bahamas,4
male,2008,Bahrain,35
male,2008,Barbados,0
male,2008,Belarus,2187
male,2008,Belgium,1452
male,2008,Belize,10
male,2008,Brazil,7266
male,2008,Bulgaria,694
male,2008,Canada,2777
male,2008,Chile,1674
male,2008,Colombia,1772
male,2008,Costa Rica,227
male,2008,Croatia,609
male,2008,Cuba,1067
male,2008,Cyprus,31
male,2008,Czech Republic,1123
male,2008,Denmark,418
male,2008,Ecuador,673
male,2008,El Salvador,374
male,2008,Estonia,189
male,2008,Fiji,25
male,2008,Finland,801
male,2008,France,7619
male,2008,Germany,7045
male,2008,Greece,308
male,2008,Grenada,0
male,2008,Guatemala,371
male,2008,Guyana,124
male,2008,Hungary,1910
male,2008,Iceland,27
male,2008,Ireland,386
male,2008,Israel,294
male,2008,Italy,2997
male,2008,Japan,21405
male,2008,Kazakhstan,3230
male,2008,Kuwait,33
male,2008,Kyrgyzstan,379
male,2008,Latvia,427
male,2008,Lithuania,918
male,2008,Luxembourg,35
male,2008,Maldives,0
male,2008,Malta,12
male,2008,Mauritius,72
male,2008,Mexico,3782
male,2008,Montenegro,80
male,2008,Netherlands,991
male,2008,New Zealand,381
male,2008,Norway,347
male,2008,Panama,154
male,2008,Paraguay,160
male,2008,Philippines,1411
male,2008,Poland,4870
male,2008,Portugal,794
male,2008,Puerto Rico,253
male,2008,Qatar,31
male,2008,Republic of Korea,8260
male,2008,Romania,2026
male,2008,Russian Federation,31286
male,2008,Saint Lucia,0
male,2008,Saint Vincent and Grenadines,3
male,2008,Serbia,903
male,2008,Seychelles,4
male,2008,Singapore,207
male,2008,Slovakia,508
male,2008,Slovenia,324
male,2008,South Africa,346
male,2008,Spain,2676
male,2008,Suriname,113
male,2008,Sweden,855
male,2008,Switzerland,861
male,2008,Thailand,2906
male,2008,Trinidad and Tobago,163
male,2008,Turkmenistan,370
male,2008,Ukraine,7779
male,2008,United Arab Emirates,82
male,2008,United Kingdom,3300
male,2008,United States,28447
male,2008,Uruguay,411
male,2009,Albania,0
male,2009,Antigua and Barbuda,0
male,2009,Argentina,2300
male,2009,Armenia,43
male,2009,Aruba,4
male,2009,Australia,1785
male,2009,Austria,972
male,2009,Bahamas,5
male,2009,Bahrain,30
male,2009,Barbados,5
male,2009,Belarus,2238
male,2009,Belgium,1459
male,2009,Belize,11
male,2009,Brazil,7473
male,2009,Bulgaria,662
male,2009,Canada,2989
male,2009,Chile,1724
male,2009,Colombia,1802
male,2009,Costa Rica,236
male,2009,Croatia,618
male,2009,Cuba,1141
male,2009,Cyprus,25
male,2009,Czech Republic,1230
male,2009,Denmark,477
male,2009,Ecuador,719
male,2009,El Salvador,393
male,2009,Estonia,220
male,2009,Fiji,19
male,2009,Finland,761
male,2009,France,7765
male,2009,Georgia,149
male,2009,Germany,7206
male,2009,Greece,333
male,2009,Grenada,0
male,2009,Guatemala,366
male,2009,Guyana,109
male,2009,Hungary,1901
male,2009,Iceland,29
male,2009,Ireland,422
male,2009,Israel,310
male,2009,Italy,3093
male,2009,Jamaica,33
male,2009,Japan,22015
male,2009,Kazakhstan,3120
male,2009,Kuwait,40
male,2009,Kyrgyzstan,362
male,2009,Latvia,416
male,2009,Lithuania,952
male,2009,Luxembourg,36
male,2009,Malta,33
male,2009,Mauritius,92
male,2009,Mexico,4057
male,2009,Montenegro,77
male,2009,Netherlands,1068
male,2009,New Zealand,394
male,2009,Norway,416
male,2009,Oman,13
male,2009,Panama,149
male,2009,Paraguay,213
male,2009,Philippines,1549
male,2009,Poland,5531
male,2009,Portugal,803
male,2009,Puerto Rico,301
male,2009,Qatar,41
male,2009,Republic of Korea,9927
male,2009,Romania,2197
male,2009,Russian Federation,30923
male,2009,Saint Lucia,13
male,2009,Saint Vincent and Grenadines,1
male,2009,Serbia,997
male,2009,Seychelles,4
male,2009,Singapore,235
male,2009,Slovakia,543
male,2009,Slovenia,350
male,2009,South Africa,280
male,2009,Spain,2666
male,2009,Suriname,99
male,2009,Sweden,888
male,2009,Switzerland,827
male,2009,Thailand,2926
male,2009,Trinidad and Tobago,107
male,2009,Turkey,801
male,2009,Turkmenistan,125
male,2009,Ukraine,7991
male,2009,United Arab Emirates,109
male,2009,United Kingdom,3313
male,2009,United States,29079
male,2009,Uruguay,408
male,2009,Uzbekistan,1023
male,2010,Albania,61
male,2010,Argentina,2377
male,2010,Armenia,54
male,2010,Aruba,6
male,2010,Australia,1867
male,2010,Austria,970
male,2010,Bahamas,6
male,2010,Bahrain,15
male,2010,Barbados,3
male,2010,Belarus,2069
male,2010,Belgium,1450
male,2010,Belize,13
male,2010,Brazil,7356
male,2010,Bulgaria,649
male,2010,Canada,2981
male,2010,Chile,1618
male,2010,Colombia,1710
male,2010,Costa Rica,268
male,2010,Croatia,584
male,2010,Cuba,1229
male,2010,Cyprus,30
male,2010,Czech Republic,1245
male,2010,Denmark,405
male,2010,Ecuador,658
male,2010,El Salvador,304
male,2010,Estonia,181
male,2010,Finland,718
male,2010,France,7641
male,2010,Georgia,96
male,2010,Germany,7471
male,2010,Greece,336
male,2010,Grenada,0
male,2010,Guatemala,270
male,2010,Guyana,156
male,2010,Hungary,1942
male,2010,Iceland,36
male,2010,Ireland,386
male,2010,Israel,394
male,2010,Italy,3128
male,2010,Jamaica,3
male,2010,Japan,20905
male,2010,Kazakhstan,2964
male,2010,Kuwait,26
male,2010,Kyrgyzstan,395
male,2010,Latvia,376
male,2010,Lithuania,829
male,2010,Luxembourg,43
male,2010,Maldives,1
male,2010,Malta,29
male,2010,Mauritius,76
male,2010,Mexico,3958
male,2010,Netherlands,1127
male,2010,New Zealand,387
male,2010,Nicaragua,274
male,2010,Norway,384
male,2010,Oman,13
male,2010,Panama,130
male,2010,Paraguay,160
male,2010,Philippines,1629
male,2010,Poland,5517
male,2010,Portugal,834
male,2010,Puerto Rico,241
male,2010,Qatar,46
male,2010,Republic of Korea,10321
male,2010,Romania,2304
male,2010,Russian Federation,27561
male,2010,Saint Lucia,3
male,2010,Saint Vincent and Grenadines,5
male,2010,Serbia,903
male,2010,Seychelles,6
male,2010,Singapore,197
male,2010,Slovakia,539
male,2010,Slovenia,336
male,2010,South Africa,299
male,2010,Spain,2468
male,2010,Suriname,94
male,2010,Sweden,838
male,2010,Switzerland,724
male,2010,Thailand,2913
male,2010,Trinidad and Tobago,129
male,2010,Turkey,1148
male,2010,Turkmenistan,131
male,2010,Ukraine,7510
male,2010,United Arab Emirates,89
male,2010,United Kingdom,3225
male,2010,United States,30275
male,2010,Uruguay,421
male,2010,Uzbekistan,1011
male,2011,Argentina,2329
male,2011,Armenia,51
male,2011,Aruba,7
male,2011,Australia,1812
male,2011,Austria,975
male,2011,Bahamas,3
male,2011,Bahrain,12
male,2011,Barbados,0
male,2011,Belarus,1792
male,2011,Belgium,1488
male,2011,Belize,28
male,2011,Bosnia and Herzegovina,5
male,2011,Brazil,7734
male,2011,Bulgaria,605
male,2011,Cabo Verde,37
male,2011,Canada,2781
male,2011,Chile,1657
male,2011,Colombia,1662
male,2011,Costa Rica,263
male,2011,Croatia,520
male,2011,Cuba,1214
male,2011,Cyprus,25
male,2011,Czech Republic,1337
male,2011,Denmark,437
male,2011,Ecuador,654
male,2011,El Salvador,367
male,2011,Estonia,178
male,2011,Fiji,30
male,2011,Finland,710
male,2011,France,7790
male,2011,Georgia,84
male,2011,Germany,7651
male,2011,Greece,393
male,2011,Grenada,1
male,2011,Guatemala,251
male,2011,Guyana,153
male,2011,Hungary,1846
male,2011,Iceland,22
male,2011,Ireland,458
male,2011,Israel,322
male,2011,Italy,3290
male,2011,Jamaica,44
male,2011,Japan,19781
male,2011,Kazakhstan,2793
male,2011,Kuwait,26
male,2011,Kyrgyzstan,363
male,2011,Latvia,365
male,2011,Lithuania,817
male,2011,Luxembourg,37
male,2011,Maldives,2
male,2011,Malta,20
male,2011,Mauritius,95
male,2011,Mexico,4487
male,2011,Netherlands,1137
male,2011,New Zealand,377
male,2011,Nicaragua,276
male,2011,Norway,434
male,2011,Panama,125
male,2011,Paraguay,222
male,2011,Philippines,1879
male,2011,Poland,5353
male,2011,Portugal,794
male,2011,Puerto Rico,216
male,2011,Qatar,45
